0,1,2,3,4,5,6
0.01,-1.5391599999999998e-38,-3.294626e-39,-2.043e-56,-8.292973e-77,-4.403301e-99,-1.8198999999999998e-122
0.02,-5.283293999999999e-38,-1.531861e-38,-9.204550999999999e-50,-3.449956e-66,-1.2416550000000002e-84,-3.519729e-104
0.03,-1.656361e-37,-6.292890999999999e-38,-2.418886e-46,-2.912732e-60,-2.0448890000000002e-76,-9.751466e-94
0.04,-4.50781e-37,-1.962548e-37,-3.2125029999999996e-44,-2.886906e-56,-9.716867e-71,-1.8709389999999998e-86
0.05,-1.273614e-36,-5.540841e-37,-9.673996e-43,-2.555073e-53,-1.866918e-66,-6.679219e-81
0.06,-3.587286e-36,-1.579221e-36,-1.252253e-41,-5.0897939999999996e-51,-4.7536799999999994e-63,-1.91837e-76
0.07,-1.00749e-35,-4.461368e-36,-9.495974e-41,-3.738764e-49,-3.041678e-60,-9.718958000000001e-73
0.08,-2.811115e-35,-1.253509e-35,-5.014428e-40,-1.351826e-47,-7.175562e-58,-1.391351e-69
0.09,-7.794804e-35,-3.501267e-35,-2.0605060000000002e-39,-2.882561e-46,-7.982988e-56,-7.6345e-67
0.1,-2.148287e-34,-9.719929e-35,-7.142890000000001e-39,-4.085657e-45,-4.946057e-54,-1.976934e-64
0.11,-5.884362e-34,-2.6816969999999998e-34,-2.2250509999999997e-38,-4.182923e-44,-1.9182890000000002e-52,-2.800567e-62
0.12,-1.601924e-33,-7.353443e-34,-6.535672e-38,-3.2859030000000003e-43,-5.070359e-51,-2.4188710000000002e-60
0.13,-4.3342780000000005e-33,-2.003998e-33,-1.868854e-37,-2.073249e-42,-9.732684999999999e-50,-1.382104e-58
0.14,-1.165531e-32,-5.427884e-33,-5.287632e-37,-1.089402e-41,-1.424463e-48,-5.563286999999999e-57
0.15,-3.1150320000000003e-32,-1.461134e-32,-1.4882949999999999e-36,-4.912372e-41,-1.651479e-47,-1.65738e-55
0.16,-8.27432e-32,-3.9090830000000003e-32,-4.1691539999999996e-36,-1.951126e-40,-1.563713e-46,-3.8013110000000005e-54
0.17,-2.184402e-31,-1.039404e-31,-1.161557e-35,-6.989434e-40,-1.239704e-45,-6.930202e-53
0.18,-5.7314280000000005e-31,-2.746746e-31,-3.217123e-35,-2.3084460000000002e-39,-8.401393e-45,-1.031021e-51
0.19,-1.494591e-30,-7.213996e-31,-8.856625e-35,-7.174245000000001e-39,-4.953338e-44,-1.2793529999999998e-50
0.2,-3.873566e-30,-1.8830259999999998e-30,-2.423474e-34,-2.1363769999999998e-38,-2.579874e-43,-1.348672e-49
0.21,-9.977636999999999e-30,-4.884935e-30,-6.591491e-34,-6.186572e-38,-1.2032969999999999e-42,-1.226923e-48
0.22,-2.554301e-29,-1.259456e-29,-1.781994e-33,-1.760898e-37,-5.089146e-42,-9.762892999999999e-48
0.23,-6.498955000000001e-29,-3.227214e-29,-4.7885750000000004e-33,-4.958966e-37,-1.974809e-41,-6.875232e-47
0.24,-1.6433930000000002e-28,-8.218505e-29,-1.279037e-32,-1.3863219999999999e-36,-7.111205e-41,-4.329469e-46
0.25,-4.130144e-28,-2.080067e-28,-3.395749e-32,-3.8522029999999996e-36,-2.402861e-40,-2.460539e-45
