0,1,2
0.01,-8.59839e-52,-1.922593e-98
0.02,-4.319068e-51,-9.973244e-86
0.03,-2.0682389999999998e-50,-3.0300339999999996e-78
0.04,-9.806515e-50,-6.640007e-73
0.05,-4.603333e-49,-8.813047000000001e-69
0.06,-2.1390919999999998e-48,-1.829061e-65
0.07,-9.839902999999999e-48,-9.898256999999998e-63
0.08,-4.480797e-47,-1.902964e-60
0.09,-2.019863e-46,-1.591349e-58
0.1,-9.013431e-46,-6.666416e-57
0.11,-3.981614e-45,-1.55425e-55
0.12,-1.7411169999999998e-44,-2.19835e-54
0.13,-7.536955999999999e-44,-2.047358e-53
0.14,-3.2297000000000003e-43,-1.3768650000000002e-52
0.15,-1.370017e-42,-7.468528e-52
0.16,-5.752889e-42,-3.6527089999999996e-51
0.17,-2.391342e-41,-1.731133e-50
0.18,-9.839934e-41,-8.128206999999999e-50
0.19,-4.00808e-40,-3.783334e-49
0.2,-1.616119e-39,-1.743848e-48
0.21,-6.450632000000001e-39,-7.958446e-48
0.22,-2.548719e-38,-3.596119e-47
0.23,-9.968537e-38,-1.608887e-46
0.24,-3.859488e-37,-7.126919000000001e-46
0.25,-1.479161e-36,-3.125808e-45
0.26,-5.6116169999999995e-36,-1.3573939999999998e-44
0.27,-2.107395e-35,-5.836227e-44
0.28,-7.834085e-35,-2.4845060000000003e-43
0.29,-2.882795e-34,-1.047198e-42
0.3,-1.0500770000000001e-33,-4.3701579999999997e-42
0.31,-3.786249e-33,-1.805697e-41
0.32,-1.351378e-32,-7.387039999999999e-41
0.33,-4.77444e-32,-2.992081e-40
0.34,-1.6697250000000001e-31,-1.1999200000000001e-39
0.35,-5.780202e-31,-4.7643840000000006e-39
0.36,-1.980684e-30,-1.8729889999999998e-38
0.37,-6.718308e-30,-7.290161999999999e-38
0.38,-2.255672e-29,-2.809384e-37
0.39,-7.496554000000001e-29,-1.071905e-36
0.4,-2.466128e-28,-4.0492199999999996e-36
0.41,-8.030380000000001e-28,-1.514452e-35
0.42,-2.588342e-27,-5.607989e-35
0.43,-8.257915000000001e-27,-2.056011e-34
0.44,-2.607839e-26,-7.462926e-34
0.45,-8.151755e-26,-2.681989e-33
0.46,-2.5222000000000003e-25,-9.542620000000001e-33
0.47,-7.724387e-25,-3.361553e-32
0.48,-2.3415469999999998e-24,-1.172391e-31
0.49,-7.025772e-24,-4.048217e-31
0.5,-2.0865830000000002e-23,-1.383925e-30
0.51,-6.133741e-23,-4.6840079999999995e-30
0.52,-1.784684e-22,-1.569557e-29
0.53,-5.139741000000001e-22,-5.207027e-29
0.54,-1.465085e-21,-1.7102280000000002e-28
0.55,-4.133555e-21,-5.561196000000001e-28
0.56,-1.154308e-20,-1.79032e-27
0.57,-3.190465e-20,-5.706107e-27
0.58,-8.728072e-20,-1.800504e-26
0.59,-2.3632619999999997e-19,-5.624598999999999e-26
0.6,-6.333330999999999e-19,-1.739524e-25
0.61,-1.679872e-18,-5.326095000000001e-25
0.62,-4.410026e-18,-1.614452e-24
0.63,-1.14584e-17,-4.844811e-24
0.64,-2.946603e-17,-1.439337e-23
0.65,-7.499478e-17,-4.233306e-23
0.66,-1.889073e-16,-1.232612e-22
0.67,-4.709464e-16,-3.553043e-22
0.68,-1.161972e-15,-1.013911e-21
0.69,-2.837379e-15,-2.864321e-21
0.7,-6.856985e-15,-8.010581e-21
0.71,-1.639982e-14,-2.2178099999999998e-20
0.72,-3.88178e-14,-6.078552e-20
0.73,-9.092944e-14,-1.649258e-19
0.74,-2.107927e-13,-4.429834e-19
0.75,-4.835923e-13,-1.17786e-18
0.76,-1.097922e-12,-3.100304e-18
0.77,-2.466757e-12,-8.078235e-18
0.78,-5.484533e-12,-2.083662e-17
0.79,-1.206718e-11,-5.3202680000000005e-17
0.8,-2.627356e-11,-1.34472e-16
0.81,-5.660746e-11,-3.364489e-16
0.82,-1.206879e-10,-8.332816e-16
0.83,-2.546146e-10,-2.042896e-15
0.84,-5.315269e-10,-4.957683e-15
0.85,-1.097951e-09,-1.190928e-14
0.86,-2.244138e-09,-2.831801e-14
0.87,-4.538551e-09,-6.665091e-14
0.88,-9.081931e-09,-1.552785e-13
0.89,-1.798143e-08,-3.580752e-13
0.9,-3.522467e-08,-8.173162e-13
0.91,-6.827114e-08,-1.846521e-12
0.92,-1.309138e-07,-4.129159e-12
0.93,-2.483599e-07,-9.139179e-12
0.94,-4.661388e-07,-2.002099e-11
0.95,-8.655169e-07,-4.341016e-11
0.96,-1.58983e-06,-9.315771e-11
0.97,-2.888871e-06,-1.978617e-10
0.98,-5.192725e-06,-4.15924e-10
0.99,-9.232899e-06,-8.653048e-10
1.0,-1.623836e-05,-1.781641e-09
1.01,-2.824826e-05,-3.630448e-09
1.02,-4.860382e-05,-7.321192e-09
1.03,-8.271056e-05,-1.46109e-08
1.04,-0.0001392017,-2.885612e-08
1.05,-0.0002316868,-5.639701e-08
1.06,-0.000381338,-1.090743e-07
1.07,-0.0006206517,-2.087505e-07
1.08,-0.0009988278,-3.953319e-07
1.09,-0.001589322,-7.408239e-07
1.1,-0.002500248,-1.37365e-06
