0,1,2
0.01,-3.984002e-56,-7.859822e-109
0.02,-1.3845670000000001e-55,-5.38936e-96
0.03,-4.046778e-55,-2.257363e-88
0.04,-1.1974270000000001e-54,-7.120882e-83
0.05,-3.519151e-54,-1.421524e-78
0.06,-1.029974e-53,-4.639641e-75
0.07,-3.000818e-53,-4.131823e-72
0.08,-8.70372e-53,-1.368705e-69
0.09,-2.5131460000000003e-52,-2.065074e-67
0.1,-7.224012e-52,-1.632119e-65
0.11,-2.0672209999999998e-51,-7.472751999999999e-64
0.12,-5.889018e-51,-2.1363130000000002e-62
0.13,-1.6701139999999998e-50,-4.0387750000000004e-61
0.14,-4.71516e-50,-5.284063e-60
0.15,-1.325237e-49,-4.967307e-59
0.16,-3.707982e-49,-3.4686649999999996e-58
0.17,-1.032828e-48,-1.8596409999999998e-57
0.18,-2.863944e-48,-7.948125e-57
0.19,-7.905824999999999e-48,-2.83967e-56
0.2,-2.172579e-47,-8.993157e-56
0.21,-5.943601000000001e-47,-2.681504e-55
0.22,-1.6187100000000001e-46,-7.855884e-55
0.23,-4.388676e-46,-2.2975530000000003e-54
0.24,-1.184521e-45,-6.708713000000001e-54
0.25,-3.182709e-45,-1.951464e-53
0.26,-8.513250000000001e-45,-5.651244e-53
0.27,-2.26693e-44,-1.6292650000000001e-52
0.28,-6.009308999999999e-44,-4.676421e-52
0.29,-1.585823e-43,-1.3363149999999999e-51
0.3,-4.166087e-43,-3.8016899999999996e-51
0.31,-1.089545e-42,-1.076756e-50
0.32,-2.8366439999999997e-42,-3.0361979999999996e-50
0.33,-7.352026999999999e-42,-8.523447999999999e-50
0.34,-1.896932e-41,-2.382168e-49
0.35,-4.872349999999999e-41,-6.628287e-49
0.36,-1.245854e-40,-1.8361229999999998e-48
0.37,-3.171298e-40,-5.063763e-48
0.38,-8.036157e-40,-1.390324e-47
0.39,-2.027219e-39,-3.800403e-47
0.4,-5.0908890000000006e-39,-1.034222e-46
0.41,-1.272703e-38,-2.802e-46
0.42,-3.1673809999999995e-38,-7.557753e-46
0.43,-7.847175999999999e-38,-2.029491e-45
0.44,-1.935379e-37,-5.42564e-45
0.45,-4.751794e-37,-1.4440569999999998e-44
0.46,-1.161417e-36,-3.8263669999999996e-44
0.47,-2.8259019999999997e-36,-1.0093870000000001e-43
0.48,-6.844854e-36,-2.650925e-43
0.49,-1.650476e-35,-6.931151e-43
0.5,-3.96179e-35,-1.804186e-42
0.51,-9.46697e-35,-4.6754659999999996e-42
0.52,-2.251994e-34,-1.206246e-41
0.53,-5.332858e-34,-3.098234e-41
0.54,-1.257155e-33,-7.922444e-41
0.55,-2.950212e-33,-2.016837e-40
0.56,-6.892121e-33,-5.111503e-40
0.57,-1.60283e-32,-1.289711e-39
0.58,-3.710708e-32,-3.239678e-39
0.59,-8.551850000000001e-32,-8.101709e-39
0.6,-1.9619920000000002e-31,-2.0170489999999998e-38
0.61,-4.4809240000000005e-31,-4.999435e-38
0.62,-1.018758e-30,-1.233644e-37
0.63,-2.305721e-30,-3.030559e-37
0.64,-5.194869e-30,-7.411725e-37
0.65,-1.165129e-29,-1.8045929999999998e-36
0.66,-2.601386e-29,-4.374236e-36
0.67,-5.781843e-29,-1.055572e-35
0.68,-1.279258e-28,-2.535922e-35
0.69,-2.817602e-28,-6.065209e-35
0.7,-6.177753e-28,-1.444166e-34
0.71,-1.348374e-27,-3.423339e-34
0.72,-2.929668e-27,-8.078737999999999e-34
0.73,-6.3365730000000006e-27,-1.8980060000000002e-33
0.74,-1.364325e-26,-4.4392700000000004e-33
0.75,-2.9242069999999996e-26,-1.0336780000000001e-32
0.76,-6.239137999999999e-26,-2.3961740000000002e-32
0.77,-1.325156e-25,-5.529809e-32
0.78,-2.8017830000000002e-25,-1.270458e-31
0.79,-5.896939e-25,-2.90582e-31
0.8,-1.235501e-24,-6.616596e-31
0.81,-2.5768129999999998e-24,-1.4998839999999999e-30
0.82,-5.3499e-24,-3.384834e-30
0.83,-1.1056830000000001e-23,-7.604549e-30
0.84,-2.2747710000000003e-23,-1.7008470000000002e-29
0.85,-4.658709e-23,-3.78715e-29
0.86,-9.497603e-23,-8.394883e-29
0.87,-1.9274460000000001e-22,-1.852555e-28
0.88,-3.8937640000000002e-22,-4.069879e-28
0.89,-7.830248e-22,-8.901133e-28
0.9,-1.56747e-21,-1.938037e-27
0.91,-3.123489e-21,-4.200792e-27
0.92,-6.195796e-21,-9.064673e-27
0.93,-1.223404e-20,-1.9472619999999998e-26
0.94,-2.4046819999999998e-20,-4.164354e-26
0.95,-4.704998e-20,-8.865863e-26
0.96,-9.163779e-20,-1.8790750000000002e-25
0.97,-1.7766519999999998e-19,-3.9647550000000003e-25
0.98,-3.4287979999999995e-19,-8.327933e-25
0.99,-6.587070999999999e-19,-1.74143e-24
1.0,-1.2596590000000001e-18,-3.625118e-24
1.01,-2.397854e-18,-7.512509e-24
1.02,-4.543607e-18,-1.5498660000000003e-23
1.03,-8.570109e-18,-3.183088e-23
1.04,-1.609083e-17,-6.508007e-23
1.05,-3.007295e-17,-1.3246210000000002e-22
1.06,-5.594719e-17,-2.683977e-22
1.07,-1.036058e-16,-5.413881e-22
1.08,-1.909821e-16,-1.087128e-21
1.09,-3.504312e-16,-2.1731739999999998e-21
1.1,-6.400493e-16,-4.324629e-21
1.11,-1.163653e-15,-8.567283e-21
1.12,-2.105872e-15,-1.6895719999999998e-20
1.13,-3.793477e-15,-3.3170249999999996e-20
1.14,-6.80204e-15,-6.482738999999999e-20
1.15,-1.214048e-14,-1.261262e-19
1.16,-2.15688e-14,-2.4427999999999996e-19
1.17,-3.814244e-14,-4.709837e-19
1.18,-6.714013e-14,-9.03979e-19
1.19,-1.176375e-13,-1.727207e-18
1.2,-2.051623e-13,-3.285209e-18
1.21,-3.561531e-13,-6.22033e-18
1.22,-6.154056e-13,-1.1724510000000001e-17
1.23,-1.05845e-12,-2.1999150000000002e-17
1.24,-1.812016e-12,-4.109095e-17
1.25,-3.087699e-12,-7.640369000000001e-17
1.26,-5.237059e-12,-1.414196e-16
1.27,-8.841337e-12,-2.605737e-16
1.28,-1.485678e-11,-4.779436e-16
1.29,-2.484885e-11,-8.72663e-16
1.3,-4.136764e-11,-1.586132e-15
1.31,-6.854665e-11,-2.869812e-15
1.32,-1.130527e-10,-5.168783e-15
1.33,-1.855851e-10,-9.267069e-15
1.34,-3.032289e-10,-1.653921e-14
1.35,-4.9313e-10,-2.938352e-14
1.36,-7.982032e-10,-5.196472e-14
1.37,-1.285952e-09,-9.148034e-14
1.38,-2.06202e-09,-1.603098e-13
1.39,-3.290906e-09,-2.796429e-13
1.4,-5.227458e-09,-4.85577e-13
1.41,-8.264479e-09,-8.393077e-13
1.42,-1.300432e-08,-1.444082e-12
1.43,-2.036595e-08,-2.473252e-12
1.44,-3.174416e-08,-4.216472e-12
1.45,-4.924502e-08,-7.155386e-12
1.46,-7.603215e-08,-1.208699e-11
1.47,-1.168331e-07,-2.03237e-11
1.48,-1.786754e-07,-3.401616e-11
1.49,-2.719513e-07,-5.667141e-11
1.5,-4.119473e-07,-9.398036e-11
1.51,-6.210303e-07,-1.551325e-10
1.52,-9.317536e-07,-2.548936e-10
1.53,-1.391243e-06,-4.168731e-10
1.54,-2.067353e-06,-6.786338e-10
1.55,-3.057258e-06,-1.099643e-09
1.56,-4.499367e-06,-1.773579e-09
1.57,-6.58974e-06,-2.847276e-09
1.58,-9.604578e-06,-4.549742e-09
1.59,-1.393083e-05,-7.236352e-09
1.6,-2.010756e-05,-1.145582e-08
1.61,-2.888157e-05,-1.805108e-08
1.62,-4.128153e-05,-2.831058e-08
1.63,-5.871637e-05,-4.419368e-08
1.64,-8.310465e-05,-6.866486e-08
1.65,-0.0001170438,-1.061865e-07
1.66,-0.0001640295,-1.634411e-07
1.67,-0.0002287388,-2.503846e-07
1.68,-0.0003173915,-3.817732e-07
1.69,-0.0004382089,-5.793636e-07
1.7,-0.0006019915,-8.750682e-07
1.71,-0.000822839,-1.315449e-06
1.72,-0.001119043,-1.968085e-06
1.73,-0.001514179,-2.930542e-06
1.74,-0.002038437,-4.342927e-06
1.75,-0.00273022,-6.405358e-06
1.76,-0.003638047,-9.40214e-06
1.77,-0.004822792,-1.373498e-05
1.78,-0.006360295,-1.996839e-05
1.79,-0.008344352,-2.889131e-05
1.8,-0.01089011,-4.160022e-05
1.81,-0.01413782,-5.961057e-05
1.82,-0.018257,-8.500512e-05
1.83,-0.02345083,-0.0001206301
1.84,-0.02996074,-0.0001703528
1.85,-0.03807111,-0.0002393977
1.86,-0.04811369,-0.0003347817
1.87,-0.06047173,-0.0004658737
1.88,-0.07558328,-0.000645108
1.89,-0.09394334,-0.0008888889
1.9,-0.1161044,-0.001218726
1.91,-0.1426749,-0.001662648
1.92,-0.1743147,-0.00225695
1.93,-0.2117273,-0.003048335
1.94,-0.255648,-0.004096505
1.95,-0.306827,-0.005477277
1.96,-0.3660077,-0.007286292
1.97,-0.4338979,-0.009643361
1.98,-0.5111362,-0.01269753
1.99,-0.5982506,-0.01663286
2.0,-0.6956112,-0.02167501
2.01,-0.8033766,-0.0280985
2.02,-0.9214361,-0.03623466
2.03,-1.049346,-0.04648015
2.04,-1.186268,-0.05930582
