0,1,2
0.01,-2.268281e-56,-1.987135e-123
0.02,-7.90823e-56,-1.806761e-110
0.03,-2.336687e-55,-1.052288e-102
0.04,-6.913321e-55,-4.842942e-97
0.05,-2.02756e-54,-1.48059e-92
0.06,-5.936759e-54,-7.773293e-89
0.07,-1.730165e-53,-1.1705999999999999e-85
0.08,-5.018966e-53,-6.900784e-83
0.09,-1.44947e-52,-1.9524559999999998e-80
0.1,-4.1672670000000005e-52,-3.0537019999999997e-78
0.11,-1.1927289999999999e-51,-2.924484e-76
0.12,-3.3984499999999996e-51,-1.851368e-74
0.13,-9.639804e-51,-8.21723e-73
0.14,-2.722097e-50,-2.678307e-71
0.15,-7.652208999999999e-50,-6.65309e-70
0.16,-2.141498e-49,-1.298252e-68
0.17,-5.966177e-49,-2.040514e-67
0.18,-1.654709e-48,-2.638042e-66
0.19,-4.568719e-48,-2.855814e-65
0.2,-1.255781e-47,-2.6287609999999997e-64
0.21,-3.436214e-47,-2.0853019999999997e-63
0.22,-9.360368e-47,-1.44263e-62
0.23,-2.538352e-46,-8.798214000000001e-62
0.24,-6.85262e-46,-4.777884e-61
0.25,-1.841651e-45,-2.3325400000000002e-60
0.26,-4.9272370000000003e-45,-1.033391e-59
0.27,-1.3123359999999998e-44,-4.194687e-59
0.28,-3.4796169999999996e-44,-1.575689e-58
0.29,-9.184656e-44,-5.53554e-58
0.3,-2.4134530000000003e-43,-1.839023e-57
0.31,-6.313342e-43,-5.843541999999999e-57
0.32,-1.644083e-42,-1.79553e-56
0.33,-4.262184e-42,-5.387564999999999e-56
0.34,-1.099978e-41,-1.5910960000000002e-55
0.35,-2.826048e-41,-4.650728e-55
0.36,-7.227997e-41,-1.3500070000000002e-54
0.37,-1.840345e-40,-3.898425e-54
0.38,-4.664693e-40,-1.12069e-53
0.39,-1.177035e-39,-3.207844e-53
0.4,-2.956633e-39,-9.14284e-53
0.41,-7.393452e-39,-2.594661e-52
0.42,-1.8405119999999997e-38,-7.331707000000001e-52
0.43,-4.561116e-38,-2.062774e-51
0.44,-1.1252379999999999e-37,-5.778559999999999e-51
0.45,-2.763494e-37,-1.611791e-50
0.46,-6.7563579999999995e-37,-4.476294999999999e-50
0.47,-1.644398e-36,-1.237798e-49
0.48,-3.9841959999999995e-36,-3.4080129999999998e-49
0.49,-9.609789e-36,-9.34272e-49
0.5,-2.307417e-35,-2.55015e-48
0.51,-5.515399e-35,-6.930716999999999e-48
0.52,-1.3124e-34,-1.875472e-47
0.53,-3.1088039999999998e-34,-5.053155e-47
0.54,-7.3309169999999994e-34,-1.355608e-46
0.55,-1.7209190000000003e-33,-3.62097e-46
0.56,-4.021608e-33,-9.630188e-46
0.57,-9.355684e-33,-2.550137e-45
0.58,-2.166644e-32,-6.723737e-45
0.59,-4.995001e-32,-1.765129e-44
0.6,-1.146355e-31,-4.613814999999999e-44
0.61,-2.6190120000000003e-31,-1.200776e-43
