0,1,2
0.01,-1.950553e-55,-4.684029e-106
0.02,-5.2230460000000004e-55,-4.923354e-98
0.03,-1.5176220000000001e-54,-4.228892e-93
0.04,-4.474956e-54,-1.7834279999999998e-89
0.05,-1.317841e-53,-1.354837e-86
0.06,-3.8646280000000003e-53,-3.361779e-84
0.07,-1.128159e-52,-3.775782e-82
0.08,-3.2783950000000003e-52,-2.344005e-80
0.09,-9.484064e-52,-9.176625e-79
0.1,-2.7313369999999996e-51,-2.483662e-77
0.11,-7.830783e-51,-4.968089e-76
0.12,-2.2350339999999996e-50,-7.722421000000001e-75
0.13,-6.350561999999999e-50,-9.695801e-74
0.14,-1.796341e-49,-1.01375e-72
0.15,-5.058408e-49,-9.045859e-72
0.16,-1.418036e-48,-7.028351e-71
0.17,-3.9573879999999994e-48,-4.834772e-70
0.18,-1.099456e-47,-2.986132e-69
0.19,-3.040847e-47,-1.6759050000000002e-68
0.2,-8.37257e-47,-8.635498000000001e-68
0.21,-2.294933e-46,-4.122408e-67
0.22,-6.26222e-46,-1.837879e-66
0.23,-1.701113e-45,-7.707231e-66
0.24,-4.600282e-45,-3.0599419999999998e-65
0.25,-1.2384599999999998e-44,-1.157009e-64
0.26,-3.3191389999999995e-44,-4.1892989999999996e-64
0.27,-8.855529999999999e-44,-1.459907e-63
0.28,-2.352064e-43,-4.919594999999999e-63
0.29,-6.219119e-43,-1.610077e-62
0.3,-1.6370179999999998e-42,-5.138342e-62
0.31,-4.289661e-42,-1.604913e-61
0.32,-1.1190169999999999e-41,-4.922276e-61
0.33,-2.905993e-41,-1.4867260000000002e-60
0.34,-7.512703e-41,-4.433406e-60
0.35,-1.933488e-40,-1.307983e-59
0.36,-4.953704e-40,-3.824484e-59
0.37,-1.26346e-39,-1.109793e-58
0.38,-3.208011e-39,-3.199372e-58
0.39,-8.108722e-39,-9.170192e-58
0.4,-2.0403799999999998e-38,-2.614729e-57
0.41,-5.111067999999999e-38,-7.419582e-57
0.42,-1.274541e-37,-2.09581e-56
0.43,-3.164003e-37,-5.894139e-56
0.44,-7.819174e-37,-1.650568e-55
0.45,-1.923647e-36,-4.602793e-55
0.46,-4.711185e-36,-1.278214e-54
0.47,-1.148616e-35,-3.535014e-54
0.48,-2.787782e-35,-9.736230000000001e-54
0.49,-6.735689e-35,-2.6705880000000003e-53
0.5,-1.620108e-34,-7.295278000000001e-53
0.51,-3.879222e-34,-1.984712e-52
0.52,-9.246624e-34,-5.3774330000000005e-52
0.53,-2.194116e-33,-1.4510259999999998e-51
0.54,-5.1829040000000006e-33,-3.8994119999999996e-51
0.55,-1.218776e-32,-1.0436319999999999e-50
0.56,-2.853061e-32,-2.781767e-50
0.57,-6.648664e-32,-7.384478e-50
0.58,-1.542388e-31,-1.952294e-49
0.59,-3.561952e-31,-5.140412e-49
0.6,-8.188749e-31,-1.3479639999999999e-48
0.61,-1.874052e-30,-3.5203619999999997e-48
0.62,-4.269526e-30,-9.156415e-48
0.63,-9.683035e-30,-2.371884e-47
0.64,-2.1861330000000001e-29,-6.119163e-47
0.65,-4.9133120000000003e-29,-1.572251e-46
0.66,-1.09927e-28,-4.023311e-46
0.67,-2.44831e-28,-1.025364e-45
0.68,-5.428248e-28,-2.60259e-45
0.69,-1.198075e-27,-6.579115e-45
0.7,-2.6323190000000002e-27,-1.656395e-44
0.71,-5.7573550000000005e-27,-4.1533259999999996e-44
0.72,-1.253536e-26,-1.0372040000000001e-43
0.73,-2.716937e-26,-2.579699e-43
0.74,-5.862065999999999e-26,-6.390158000000001e-43
0.75,-1.259069e-25,-1.576494e-42
0.76,-2.692004e-25,-3.873576e-42
0.77,-5.729656e-25,-9.479197e-42
0.78,-1.213969e-24,-2.3103159999999997e-41
0.79,-2.560425e-24,-5.608055999999999e-41
0.8,-5.37578e-24,-1.355798e-40
0.81,-1.1235570000000001e-23,-3.264527e-40
0.82,-2.3376140000000002e-23,-7.828685e-40
0.83,-4.8414280000000004e-23,-1.869827e-39
0.84,-9.981518e-23,-4.4479350000000004e-39
0.85,-2.048526e-22,-1.0538069999999999e-38
0.86,-4.185118e-22,-2.4866209999999996e-38
0.87,-8.511269e-22,-5.843932e-38
0.88,-1.723061e-21,-1.36788e-37
0.89,-3.472372e-21,-3.188889e-37
0.9,-6.965786e-21,-7.404226e-37
0.91,-1.391015e-20,-1.7122589999999998e-36
0.92,-2.7650959999999996e-20,-3.943755e-36
0.93,-5.47148e-20,-9.046934e-36
0.94,-1.0777419999999999e-19,-2.06702e-35
0.95,-2.1131939999999997e-19,-4.703711e-35
0.96,-4.1245609999999996e-19,-1.06608e-34
0.97,-8.013623999999999e-19,-2.406539e-34
0.98,-1.54986e-18,-5.4106669999999995e-34
0.99,-2.983781e-18,-1.2116140000000001e-33
1.0,-5.718103e-18,-2.7023e-33
1.01,-1.0908030000000002e-17,-6.0028820000000006e-33
1.02,-2.071331e-17,-1.328139e-32
1.03,-3.915255e-17,-2.926751e-32
1.04,-7.366773000000001e-17,-6.423723e-32
1.05,-1.379749e-16,-1.40426e-31
1.06,-2.572337e-16,-3.057516e-31
1.07,-4.773743e-16,-6.6305720000000005e-31
1.08,-8.818462e-16,-1.432171e-30
1.09,-1.621542e-15,-3.0810699999999998e-30
1.1,-2.968e-15,-6.601934999999999e-30
1.11,-5.40753e-15,-1.4089800000000002e-29
1.12,-9.806909e-15,-2.9950420000000004e-29
1.13,-1.770363e-14,-6.341126e-29
1.14,-3.18118e-14,-1.3371980000000001e-28
1.15,-5.689952e-14,-2.8086110000000004e-28
1.16,-1.01303e-13,-5.875636e-28
1.17,-1.795263e-13,-1.2242950000000001e-27
1.18,-3.166827e-13,-2.5408910000000003e-27
1.19,-5.56045e-13,-5.2523680000000005e-27
1.2,-9.718145e-13,-1.08142e-26
1.21,-1.69061e-12,-2.2177059999999998e-26
1.22,-2.927442e-12,-4.529863e-26
1.23,-5.045644e-12,-9.215906e-26
1.24,-8.656193e-12,-1.867513e-25
1.25,-1.478147e-11,-3.7693130000000003e-25
1.26,-2.51239e-11,-7.577654e-25
1.27,-4.250436e-11,-1.517336e-24
1.28,-7.1574e-11,-3.0262429999999998e-24
1.29,-1.199639e-10,-6.011759e-24
1.3,-2.001326e-10,-1.1895310000000001e-23
1.31,-3.323187e-10,-2.3443720000000002e-23
1.32,-5.49237e-10,-4.602087e-23
1.33,-9.035055e-10,-8.998317e-23
1.34,-1.479332e-09,-1.752453e-22
1.35,-2.410808e-09,-3.3994650000000003e-22
1.36,-3.910383e-09,-6.568324000000001e-22
