Vs_soil,Vs_bedrock,h_soil,correlation
236.42148,1246.8053,130,0.5032462649432464
243.77805,905.2734,90,0.4493956616930239
150.25847,932.55774,80,0.24436872762032483
307.7401,1458.029,75,0.3291657129650689
349.50198,979.2067,30,0.9941886386276808
299.0522,1198.2858,75,0.749780849518915
125.34825,761.6247,30,0.0055970753762176
329.48428,1022.4652,35,0.48916048504372056
161.32285,1084.341,105,0.373111105571556
138.84111,945.2938,115,0.18403224237391463
353.19534,983.1907,90,0.2095840312288786
196.65823,813.26404,115,0.02427272804599357
100.92361,912.13116,60,0.2748141711205268
143.68732,1191.9813,10,0.9563280650438667
220.89305,996.8364,15,0.9994536340708006
131.75163,872.89233,70,0.009039073446467058
145.18057,808.8318,85,0.47677345216148403
127.76642,1480.2916,10,0.29612693836225473
194.89383,1021.0143,75,0.17055579810455387
230.65791,929.2517,85,0.2662398768049176
192.68166,1185.7263,120,0.22495707077872573
235.10834,1010.14014,100,0.4721091193853884
356.07333,1439.1991,45,0.4427475763339369
278.60278,1356.6362,120,0.7379514205393624
170.28015,1409.458,135,-0.026762093918456582
228.18019,970.55023,65,0.24194046757514498
223.93686,1312.5771,30,0.5395218626331802
157.28517,1133.6866,140,0.5673772575562865
136.78474,1223.7179,135,0.011473857163859773
350.02814,1038.1274,130,0.5288415324730461
133.06796,918.598,130,-0.05574572342769969
195.13177,1413.7189,140,0.19425135619097605
217.97864,845.5485,10,0.9970855320299811
159.47813,1291.5784,50,0.06648296437222709
290.3381,813.94,75,0.7065490573610481
137.636,995.3656,100,0.1451489081668457
107.2144,1411.9022,55,0.7299135238331875
264.9924,848.169,45,0.44053339250123413
127.39401,917.1686,90,0.4300193934658011
107.08573,935.6144,10,0.47522210569259005
283.31448,892.413,75,0.6473712217428093
130.74341,1155.1663,40,0.6268094413133349
236.10204,882.251,40,0.7067091919850411
111.04257,1281.339,105,0.763871607160557
244.88174,844.24634,35,0.4149419949200983
118.79955,1095.5406,105,0.7441735167946675
155.83214,972.87726,105,0.28486658407421256
247.74525,1018.9453,10,0.9974932420060676
313.08212,1005.8057,75,0.760677090305685
225.65099,1253.4794,135,0.3143213244300277
108.2333,1357.5754,25,0.6427481763672098
194.48811,1010.8813,40,0.36836950045490446
101.696815,1416.2578,30,0.45326239399568297
