Epoch 1/1000, Train Loss: 6.118845, Val Loss: 9.276273, LR: 1.00e-03
Model saved with validation loss: 9.276273
Epoch 2/1000, Train Loss: 6.393344, Val Loss: 10.975621, LR: 1.00e-03
Epoch 3/1000, Train Loss: 6.277254, Val Loss: 10.668329, LR: 1.00e-03
Epoch 4/1000, Train Loss: 5.808305, Val Loss: 9.618084, LR: 1.00e-03
Epoch 5/1000, Train Loss: 5.609370, Val Loss: 9.637816, LR: 1.00e-03
Epoch 6/1000, Train Loss: 5.665077, Val Loss: 10.428825, LR: 1.00e-03
Epoch 7/1000, Train Loss: 5.366645, Val Loss: 9.678938, LR: 1.00e-03
Epoch 8/1000, Train Loss: 6.236318, Val Loss: 9.527238, LR: 1.00e-03
Epoch 9/1000, Train Loss: 5.528540, Val Loss: 9.872047, LR: 1.00e-03
Epoch 10/1000, Train Loss: 5.451080, Val Loss: 9.132474, LR: 1.00e-03
Model saved with validation loss: 9.132474
Epoch 11/1000, Train Loss: 5.188679, Val Loss: 10.446069, LR: 1.00e-03
Epoch 12/1000, Train Loss: 5.790154, Val Loss: 9.912897, LR: 1.00e-03
Epoch 13/1000, Train Loss: 5.994380, Val Loss: 10.061747, LR: 1.00e-03
Epoch 14/1000, Train Loss: 5.441483, Val Loss: 9.841497, LR: 1.00e-03
Epoch 15/1000, Train Loss: 5.638314, Val Loss: 10.290639, LR: 1.00e-03
Epoch 16/1000, Train Loss: 5.743702, Val Loss: 10.139103, LR: 1.00e-03
Epoch 17/1000, Train Loss: 6.144054, Val Loss: 10.447715, LR: 1.00e-03
Epoch 18/1000, Train Loss: 5.779781, Val Loss: 10.261950, LR: 1.00e-03
Epoch 19/1000, Train Loss: 5.719919, Val Loss: 10.594566, LR: 1.00e-03
Epoch 20/1000, Train Loss: 5.836309, Val Loss: 9.609689, LR: 1.00e-03
Epoch 21/1000, Train Loss: 5.206059, Val Loss: 9.761486, LR: 1.00e-03
Epoch 22/1000, Train Loss: 6.246937, Val Loss: 10.017648, LR: 1.00e-03
Epoch 23/1000, Train Loss: 5.913367, Val Loss: 10.022162, LR: 1.00e-03
Epoch 24/1000, Train Loss: 5.218226, Val Loss: 9.388140, LR: 1.00e-03
Epoch 25/1000, Train Loss: 5.066894, Val Loss: 9.642640, LR: 1.00e-03
Epoch 26/1000, Train Loss: 5.945956, Val Loss: 9.968194, LR: 1.00e-03
Epoch 27/1000, Train Loss: 5.967769, Val Loss: 10.506971, LR: 1.00e-03
Epoch 28/1000, Train Loss: 5.056403, Val Loss: 9.234764, LR: 1.00e-03
Epoch 29/1000, Train Loss: 4.725846, Val Loss: 9.885731, LR: 1.00e-03
Epoch 30/1000, Train Loss: 5.559816, Val Loss: 10.183764, LR: 1.00e-03
Epoch 31/1000, Train Loss: 6.611700, Val Loss: 10.380874, LR: 9.00e-04
Epoch 32/1000, Train Loss: 5.614554, Val Loss: 10.293141, LR: 9.00e-04
Epoch 33/1000, Train Loss: 5.812345, Val Loss: 10.994203, LR: 9.00e-04
Epoch 34/1000, Train Loss: 5.370944, Val Loss: 9.594305, LR: 9.00e-04
Epoch 35/1000, Train Loss: 4.822449, Val Loss: 9.676938, LR: 9.00e-04
Epoch 36/1000, Train Loss: 4.934437, Val Loss: 9.311028, LR: 9.00e-04
Epoch 37/1000, Train Loss: 5.044857, Val Loss: 9.331495, LR: 9.00e-04
Epoch 38/1000, Train Loss: 4.808776, Val Loss: 9.711763, LR: 9.00e-04
Epoch 39/1000, Train Loss: 4.913588, Val Loss: 9.882692, LR: 9.00e-04
Epoch 40/1000, Train Loss: 4.911056, Val Loss: 10.682964, LR: 9.00e-04
Epoch 41/1000, Train Loss: 4.812415, Val Loss: 9.492709, LR: 9.00e-04
Epoch 42/1000, Train Loss: 4.590719, Val Loss: 9.698086, LR: 9.00e-04
Epoch 43/1000, Train Loss: 4.614313, Val Loss: 9.249866, LR: 9.00e-04
Epoch 44/1000, Train Loss: 4.851898, Val Loss: 8.987452, LR: 9.00e-04
Model saved with validation loss: 8.987452
Epoch 45/1000, Train Loss: 4.739719, Val Loss: 9.575569, LR: 9.00e-04
Epoch 46/1000, Train Loss: 4.587556, Val Loss: 9.441021, LR: 9.00e-04
Epoch 47/1000, Train Loss: 4.656883, Val Loss: 10.034341, LR: 9.00e-04
Epoch 48/1000, Train Loss: 5.733141, Val Loss: 12.286853, LR: 9.00e-04
Epoch 49/1000, Train Loss: 5.206550, Val Loss: 9.673750, LR: 9.00e-04
Epoch 50/1000, Train Loss: 4.568000, Val Loss: 9.964016, LR: 9.00e-04
Epoch 51/1000, Train Loss: 4.510580, Val Loss: 9.639153, LR: 9.00e-04
Epoch 52/1000, Train Loss: 5.045166, Val Loss: 9.245065, LR: 9.00e-04
Epoch 53/1000, Train Loss: 4.518403, Val Loss: 8.789157, LR: 9.00e-04
Model saved with validation loss: 8.789157
Epoch 54/1000, Train Loss: 4.795755, Val Loss: 9.215463, LR: 9.00e-04
Epoch 55/1000, Train Loss: 5.071584, Val Loss: 10.046132, LR: 9.00e-04
Epoch 56/1000, Train Loss: 4.881471, Val Loss: 10.034841, LR: 9.00e-04
Epoch 57/1000, Train Loss: 4.777132, Val Loss: 9.580410, LR: 9.00e-04
Epoch 58/1000, Train Loss: 4.565622, Val Loss: 9.451891, LR: 9.00e-04
Epoch 59/1000, Train Loss: 4.788010, Val Loss: 9.627001, LR: 9.00e-04
Epoch 60/1000, Train Loss: 4.174459, Val Loss: 8.969325, LR: 9.00e-04
Epoch 61/1000, Train Loss: 4.439960, Val Loss: 8.682625, LR: 9.00e-04
Model saved with validation loss: 8.682625
Epoch 62/1000, Train Loss: 4.670019, Val Loss: 10.777587, LR: 9.00e-04
Epoch 63/1000, Train Loss: 5.176082, Val Loss: 9.583787, LR: 9.00e-04
Epoch 64/1000, Train Loss: 4.546272, Val Loss: 9.509026, LR: 9.00e-04
