0,1,2
0.01,-2.131002e-55,-3.741216e-136
0.02,-5.740876e-55,-8.093304000000001e-125
0.03,-1.668269e-54,-6.133935e-118
0.04,-4.917403e-54,-6.878191000000001e-113
0.05,-1.447983e-53,-7.221662e-109
0.06,-4.246457e-53,-1.62879e-105
0.07,-1.239738e-52,-1.238709e-102
0.08,-3.603017e-52,-4.1791019999999995e-100
0.09,-1.042427e-51,-7.490278e-98
0.1,-3.002429e-51,-8.083946e-96
0.11,-8.608924e-51,-5.753231e-94
0.12,-2.4573919999999997e-50,-2.890292e-92
0.13,-6.983112999999999e-50,-1.080176e-90
0.14,-1.97548e-49,-3.129762e-89
0.15,-5.563461e-49,-7.267546e-88
0.16,-1.559789e-48,-1.3895049999999999e-86
0.17,-4.353465e-48,-2.2368119999999998e-85
0.18,-1.20963e-47,-3.088958e-84
0.19,-3.345935e-47,-3.717673e-83
0.2,-9.213621e-47,-3.952455e-82
0.21,-2.525751e-46,-3.755314e-81
0.22,-6.892836e-46,-3.221e-80
0.23,-1.872632e-45,-2.516126e-79
0.24,-5.064696e-45,-1.804041e-78
0.25,-1.363644e-44,-1.195431e-77
0.26,-3.6550619999999996e-44,-7.366076e-77
0.27,-9.752916999999998e-44,-4.2440190000000003e-76
0.28,-2.5907180000000003e-43,-2.297797e-75
0.29,-6.8509540000000005e-43,-1.17437e-74
0.3,-1.803546e-42,-5.689233e-74
0.31,-4.726596e-42,-2.6224660000000002e-73
0.32,-1.233146e-41,-1.154254e-72
0.33,-3.202762e-41,-4.86687e-72
0.34,-8.280929999999999e-41,-1.971904e-71
0.35,-2.131461e-40,-7.699485e-71
0.36,-5.461593e-40,-2.9051129999999996e-70
0.37,-1.3931710000000002e-39,-1.0619800000000001e-69
0.38,-3.5377960000000006e-39,-3.770484e-69
0.39,-8.943422e-39,-1.30327e-68
0.4,-2.2506969999999998e-38,-4.395557e-68
0.41,-5.638617e-38,-1.449708e-67
0.42,-1.4062739999999999e-37,-4.6852880000000004e-67
0.43,-3.491473e-37,-1.486758e-66
0.44,-8.629558999999999e-37,-4.64092e-66
0.45,-2.1232899999999998e-36,-1.427539e-65
0.46,-5.2008069999999995e-36,-4.334076e-65
0.47,-1.268155e-35,-1.3006899999999999e-64
0.48,-3.0783189999999997e-35,-3.8636689999999997e-64
0.49,-7.438655e-35,-1.1373349999999999e-63
0.5,-1.789429e-34,-3.321133e-63
0.51,-4.285221e-34,-9.628843999999999e-63
0.52,-1.021576e-33,-2.77377e-62
0.53,-2.4244080000000002e-33,-7.943938e-62
0.54,-5.727680000000001e-33,-2.262974e-61
0.55,-1.347067e-32,-6.414544e-61
0.56,-3.153816e-32,-1.8097600000000002e-60
0.57,-7.350554e-32,-5.083243e-60
0.58,-1.7054540000000001e-31,-1.421661e-59
0.59,-3.939088e-31,-3.959476e-59
0.6,-9.057047000000001e-31,-1.098255e-58
0.61,-2.0730629999999998e-30,-3.034019e-58
0.62,-4.723596e-30,-8.348362e-58
0.63,-1.071438e-29,-2.288046e-57
0.64,-2.41933e-29,-6.246223e-57
0.65,-5.438213e-29,-1.6984989999999999e-56
0.66,-1.216886e-28,-4.6005829999999995e-56
0.67,-2.710666e-28,-1.2412600000000002e-55
0.68,-6.010821e-28,-3.335937e-55
0.69,-1.3268530000000001e-27,-8.930577000000001e-55
0.7,-2.9156990000000002e-27,-2.3814940000000002e-54
0.71,-6.378121e-27,-6.325998e-54
0.72,-1.3889049999999998e-26,-1.673861e-53
0.73,-3.010799e-26,-4.411861e-53
0.74,-6.497101e-26,-1.158343e-52
0.75,-1.3956790000000001e-25,-3.0294720000000003e-52
0.76,-2.9845540000000003e-25,-7.89245e-52
0.77,-6.3533120000000005e-25,-2.0482029999999998e-51
0.78,-1.346317e-24,-5.294827e-51
0.79,-2.840016e-24,-1.3634809999999998e-50
0.8,-5.963749e-24,-3.4975639999999995e-50
0.81,-1.246645e-23,-8.937234e-50
0.82,-2.5941210000000003e-23,-2.2749e-49
0.83,-5.373549e-23,-5.768253e-49
0.84,-1.108039e-22,-1.456969e-48
0.85,-2.274423e-22,-3.6659039999999997e-48
